Country,Animal_Products,Animal_fats,Eggs,Fish_and_Seafood,Fruits,Meat,Milk,Treenuts,Vegetables,Obesity,Confirmed,Deaths,Recovered,Population
Myanmar,26.047,3.0066,0.9251,2.5441,0.275,18.1335,1.2814,0.2688,0.2938,5.7,,,,54704000
Namibia,16.7373,3.3171,0.2718,0.6075,0.2798,7.7772,4.548,0.1199,0.1359,15,0.569736324,0.005942542,0.539039748,2541000
Nepal,12.1853,3.3076,0.4361,0.1563,0.5513,2.7069,5.4139,0.5019,0.6006,3.8,0.787591679,0.00512735,0.727300307,29996000
Netherlands,30.1494,6.6484,1.4787,0.7451,0.3475,10.8567,10.3934,1.498,0.2355,23.1,3.098631706,0.054869182,0.040453426,17467000
New Caledonia,22.2697,3.6599,1.0439,0.8385,0.2222,11.6086,5.0476,0.2557,0.1887,,,,,295000
New Zealand,34.1264,13.9753,1.2111,0.6485,0.3049,13.9409,4.2948,1.3357,0.2835,32,0.041487868,0.000501303,0.039582916,4987000
Nicaragua,17.9935,2.3309,1.008,0.4174,0.1339,7.6069,6.5123,0.0315,0.1811,21.8,0.088508187,0.002440873,0.064053972,6596000
Niger,10.9769,2.6573,0.058,0.1353,0.2416,3.6332,4.3193,0,0.4445,4.7,0.006779941,0.000314192,0.005072554,24189000
Nigeria,5.0182,0.8078,0.5755,0.5957,0.3433,2.4838,0.4645,0.2322,0.5452,7.8,0.032967886,0.000570971,0.030968759,206140000
North Macedonia,19.642,7.1263,0.7305,0.2371,0.4112,6.5409,4.8476,1.1708,0.745,23.9,3.071634615,0.087740385,1.970048077,2080000
Norway,27.2211,6.4445,1.0645,1.5545,0.4055,10.6992,7.4043,0.8888,0.1656,25,0.686263226,0.006515686,0.334100613,5387000
Oman,23.6146,2.3712,1.4422,0.929,0.7926,9.0171,9.6407,0.6107,0.5782,22.9,2.634097178,0.030341608,2.453065988,4713000
Pakistan,24.8245,8.9701,0.6203,0.0818,0.1227,3.4967,11.5125,0.1909,0.075,7.8,0.184126912,0.003713678,0.157034036,220940000
Panama,25.9557,9.1864,0.8991,0.8614,0.5722,9.1046,5.7281,0.4339,0.1258,22.5,3.953747373,0.072706047,3.422274107,4283000
Paraguay,19.8084,3.8811,1.5622,0.1742,0.3974,10.2335,3.7069,0.0163,0.1198,19,1.164465886,0.024576154,0.819641626,7255000
Peru,18.0402,1.1055,2.1206,1.9497,1.6382,6.8241,5.608,0.2312,0.4523,19.1,2.935672069,0.109572264,2.732689495,32824000
Philippines,29.7607,7.3714,1.0544,1.6045,0.7243,18.887,0.5684,0.7701,0.3576,6,0.396379847,0.007698415,0.36411878,109581000
Poland,32.746,12.3719,0.7141,0.4851,0.2057,13.3072,5.86,0.4385,0.2639,25.6,2.642167952,0.047456214,1.623696831,38368000
Portugal,26.4556,9.5983,0.7993,1.0267,0.2825,10.3459,4.5442,0.7648,0.2825,23.2,2.9629059,0.045294978,2.178898098,10255000
Republic of Moldova,26.5244,6.8551,1.5517,0.6921,0.2987,9.7764,7.5326,0.1093,0.357,20.1,3.1281471,0.066280057,2.735813296,3535000
Romania,27.4359,6.8987,1.5914,0.1994,0.293,7.9894,10.6349,0.6797,0.4477,24.5,2.518320254,0.060625747,1.929374773,19241000
Russian Federation,27.936,7.2,1.9603,0.9415,0.2138,10.8433,6.8453,0.1274,0.2638,25.7,1.58594522,0.027689749,1.236560283,146733000
Rwanda,11.0727,1.0364,0.1636,0.6364,9.6727,5.2182,3.7818,0.0182,0.2545,4.8,0.046278567,0.000386041,0.043043545,12952000
Saint Kitts and Nevis,24.3013,4.737,0.56,0.7296,0.3596,14.3547,3.7916,0.5189,0.1233,23.1,0.040740741,0,0.035185185,54000
Saint Lucia,33.3454,3.813,0.5249,1.5867,0.3741,22.8778,4.3137,0.5551,0.1508,19.8,0.143406593,0.001098901,0.077472527,182000
Saint Vincent and the Grenadines,24.4653,1.085,0.7589,0.715,0.7526,17.529,4.2521,0.4516,0.2509,23.8,0.076576577,0,0.072072072,111000
Samoa,21.6806,4.778,0.2227,1.8968,0.6287,13.2418,1.4693,0.0611,0.0431,45.5,,,,200000
Sao Tome and Principe,7.3284,0.6241,0.1074,1.4361,1.2013,4.1809,0.9731,0.0268,0.0738,10.6,0.474761905,0.008095238,0.444761905,210000
Saudi Arabia,15.3954,2.6475,0.9019,0.4122,0.4219,6.9243,4.4125,0.7128,0.1891,35,1.021295054,0.016891641,0.991732542,35041000
Senegal,6.104,0.7876,0.258,0.7129,0.0815,3.2319,0.9845,0.387,0.1901,7.4,0.096589823,0.001994744,0.093508122,16744000
Serbia,33.0354,4.0698,1.5195,0.3396,0.578,18.1385,8.7594,0.9355,0.3635,23.5,2.750553399,0.024493316,0,6957000
Sierra Leone,5.9931,0.1678,0.2983,1.2117,0.261,2.0412,2.1996,0.0559,0.2703,7.5,0.030287075,0.000927667,0.023041244,7977000
Slovakia,25.493,14.9373,1.1183,0.2331,0.1386,5.8496,3.2697,0.4253,0.1292,22.4,1.999743684,0.016440864,1.313401684,5462000
